"BaseDatos","Usuario","Roles","PermisosResumidos","TotalPermisos"
"Autenticacion","componentesProd","db_owner","CONNECT (1)","1"
"Autenticacion","dbo","db_owner","CONNECT (1)","1"
"Autenticacion","guest","","","1"
"Autenticacion","hclavijo","","CONNECT (1)","1"
"Autenticacion","INFORMATION_SCHEMA","","","1"
"Autenticacion","jtoledo","","CONNECT (1)","1"
"Autenticacion","mlizama","","CONNECT (1)","1"
"Autenticacion","pala","db_datareader, db_datawriter","CONNECT (1)","1"
"Autenticacion","readQuery","","CONNECT (1)","1"
"Autenticacion","sys","","","1"
"Autenticacion","ysantana","","CONNECT (1)","1"
"Autenticacion_renta","componentesprod","db_owner","CONNECT (1)","1"
"Autenticacion_renta","dbo","db_owner","CONNECT (1)","1"
"Autenticacion_renta","guest","","","1"
"Autenticacion_renta","INFORMATION_SCHEMA","","","1"
"Autenticacion_renta","sys","","","1"
"autenticacion-aclub","componentesProd","db_owner","CONNECT (1)","1"
"autenticacion-aclub","dbo","db_owner","CONNECT (1)","1"
"autenticacion-aclub","guest","","","1"
"autenticacion-aclub","hclavijo","","CONNECT (1)","1"
"autenticacion-aclub","INFORMATION_SCHEMA","","","1"
"autenticacion-aclub","jtoledo","","CONNECT (1)","1"
"autenticacion-aclub","mlizama","","CONNECT (1)","1"
"autenticacion-aclub","readQuery","","CONNECT (1)","1"
"autenticacion-aclub","sys","","","1"
"autenticacion-aclub","ysantana","","CONNECT (1)","1"
"autenticacion-baninter","arquitectura","db_owner","CONNECT (1)","1"
"autenticacion-baninter","componentesProd","db_owner","CONNECT (1)","1"
"autenticacion-baninter","dbo","db_owner","CONNECT (1)","1"
"autenticacion-baninter","guest","","","1"
"autenticacion-baninter","hclavijo","","CONNECT (1)","1"
"autenticacion-baninter","INFORMATION_SCHEMA","","","1"
"autenticacion-baninter","mlizama","","CONNECT (1)","1"
"autenticacion-baninter","sys","","","1"
"autenticacion-bice","arquitectura","db_owner","CONNECT (1)","1"
"autenticacion-bice","componentesProd","db_owner","CONNECT (1)","1"
"autenticacion-bice","dbo","db_owner","CONNECT (1)","1"
"autenticacion-bice","guest","","","1"
"autenticacion-bice","hclavijo","","CONNECT (1)","1"
"autenticacion-bice","INFORMATION_SCHEMA","","","1"
"autenticacion-bice","jtoledo","","CONNECT (1)","1"
"autenticacion-bice","mlizama","","CONNECT (1)","1"
"autenticacion-bice","readQuery","","CONNECT (1)","1"
"autenticacion-bice","sys","","","1"
"autenticacion-bice","ysantana","","CONNECT (1)","1"
"Autenticacion-dealers","componentesprod","db_owner","CONNECT (1)","1"
"Autenticacion-dealers","dbo","db_owner","CONNECT (1)","1"
"Autenticacion-dealers","guest","","","1"
"Autenticacion-dealers","INFORMATION_SCHEMA","","","1"
"Autenticacion-dealers","sys","","","1"
"Autenticacion-help","arquitectura","db_owner","CONNECT (1)","1"
"Autenticacion-help","componentesprod","db_owner","CONNECT (1)","1"
"Autenticacion-help","dbo","db_owner","CONNECT (1)","1"
"Autenticacion-help","guest","","","1"
"Autenticacion-help","hclavijo","","CONNECT (1)","1"
"Autenticacion-help","INFORMATION_SCHEMA","","","1"
"Autenticacion-help","sys","","","1"
"autenticacion-imcruz","componentesProd","db_owner","CONNECT (1)","1"
"autenticacion-imcruz","dbo","db_owner","CONNECT (1)","1"
"autenticacion-imcruz","guest","","","1"
"autenticacion-imcruz","hclavijo","","CONNECT (1)","1"
"autenticacion-imcruz","INFORMATION_SCHEMA","","","1"
"autenticacion-imcruz","jtoledo","","CONNECT (1)","1"
"autenticacion-imcruz","mlizama","","CONNECT (1)","1"
"autenticacion-imcruz","readQuery","","CONNECT (1)","1"
"autenticacion-imcruz","sys","","","1"
"autenticacion-imcruz","ysantana","","CONNECT (1)","1"
"autenticacion-inchcape","componentesprod","db_owner","CONNECT (1)","1"
"autenticacion-inchcape","dbo","db_owner","CONNECT (1)","1"
"autenticacion-inchcape","ecabay","","CONNECT (1), EXECUTE (1), VIEW DEFINITION (1)","3"
"autenticacion-inchcape","ecordova","","CONNECT (1)","1"
"autenticacion-inchcape","guest","","","1"
"autenticacion-inchcape","INFORMATION_SCHEMA","","","1"
"autenticacion-inchcape","mcobos","","CONNECT (1)","1"
"autenticacion-inchcape","sys","","","1"
"autenticacion-inchcape-log","cberruz","","CONNECT (1)","1"
"autenticacion-inchcape-log","componentesprod","db_owner","CONNECT (1)","1"
"autenticacion-inchcape-log","dbo","db_owner","CONNECT (1)","1"
