"Servidor";"Grupo";"Miembro";"Metodo"
"10.0.0.49";"Administrators";"Administrator";"WinNT"
"10.0.0.49";"Administrators";"SQLSERVERAGENT";"WinNT"
"10.0.0.49";"Administrators";"csilva";"WinNT"
"10.0.0.49";"Administrators";"Domain Admins";"WinNT"
"10.0.0.49";"Administrators";"usermonprtg";"WinNT"
"10.0.0.49";"Remote Desktop Users";"jtoledo";"WinNT"
"10.0.0.56";"Administrators";"Administrator";"WinNT"
"10.0.0.56";"Administrators";"Domain Admins";"WinNT"
"10.0.0.56";"Administrators";"leonel.villa";"WinNT"
"10.0.0.56";"Remote Desktop Users";"ERROR: Acceso denegado. (Excepción de HRESULT: 0x80070005 (E_ACCESSDENIED))";"ERROR"
"10.0.0.61";"Administrators";"FIDENSLAT\Domain Admins";"WinRM"
"10.0.0.61";"Administrators";"FIDENSLAT\leonel.villa";"WinRM"
"10.0.0.61";"Administrators";"FIDENSLAT\usermonprtg";"WinRM"
"10.0.0.61";"Administrators";"SRV-PR-BOL-01\Administrator";"WinRM"
"10.0.0.61";"Administrators";"SRV-PR-BOL-01\iiasoporte";"WinRM"
"10.0.0.61";"Remote Desktop Users";"FIDENSLAT\ecordova";"WinRM"
"10.0.0.80";"Administrators";"Administrator";"WinNT"
"10.0.0.80";"Administrators";"csilva";"WinNT"
"10.0.0.80";"Administrators";"lvilla";"WinNT"
"10.0.0.80";"Remote Desktop Users";"ERROR: Acceso denegado. (Excepción de HRESULT: 0x80070005 (E_ACCESSDENIED))";"ERROR"
"10.0.0.86";"Administrators";"Administrator";"WinNT"
"10.0.0.86";"Administrators";"lvilla";"WinNT"
"10.0.0.86";"Administrators";"dbuser";"WinNT"
"10.0.0.86";"Administrators";"usermonprtg";"WinNT"
"10.0.0.86";"Administrators";"csilva";"WinNT"
"10.0.0.86";"Administrators";"jtoledo";"WinNT"
"10.0.0.86";"Remote Desktop Users";"mcobos";"WinNT"
"10.0.0.102";"Administrators";"Administrator";"WinNT"
"10.0.0.102";"Administrators";"fidenslat";"WinNT"
"10.0.0.102";"Administrators";"respaldo";"WinNT"
"10.0.0.102";"Administrators";"SvcCOPSSH";"WinNT"
"10.0.0.102";"Administrators";"csilva";"WinNT"
"10.0.0.102";"Administrators";"lvilla";"WinNT"
"10.0.0.102";"Administrators";"prtg_admin";"WinNT"
"10.0.0.102";"Remote Desktop Users";"mcobos";"WinNT"
"10.0.0.102";"Remote Desktop Users";"ecordova";"WinNT"
"10.0.0.102";"Remote Desktop Users";"cberruz";"WinNT"
"10.0.0.103";"Administrators";"Administrator";"WinNT"
"10.0.0.103";"Administrators";"respaldo";"WinNT"
"10.0.0.103";"Administrators";"fidenslat";"WinNT"
"10.0.0.103";"Administrators";"csilva";"WinNT"
"10.0.0.103";"Administrators";"lvilla";"WinNT"
"10.0.0.103";"Administrators";"prtg_admin";"WinNT"
"10.0.0.103";"Administrators";"gchavez";"WinNT"
"10.0.0.103";"Administrators";"jtoledo";"WinNT"
"10.0.0.103";"Remote Desktop Users";"ecordova";"WinNT"
"10.0.0.201";"Administrators";"FIDENSLAT\Domain Admins";"WinRM"
"10.0.0.201";"Administrators";"FIDENSLAT\leonel.villa";"WinRM"
"10.0.0.201";"Administrators";"SRV-PR-WEB-01\Administrator";"WinRM"
"10.0.0.53";"Administrators";"ERROR: Acceso denegado.
";"ERROR"
"10.0.0.53";"Remote Desktop Users";"ERROR: Acceso denegado.
";"ERROR"
"10.0.0.203";"Administrators";"Administrator";"WinNT"
"10.0.0.203";"Administrators";"SQLSERVERAGENT";"WinNT"
"10.0.0.203";"Administrators";"Domain Admins";"WinNT"
"10.0.0.203";"Administrators";"usermonprtg";"WinNT"
"10.0.0.203";"Administrators";"agent203";"WinNT"
"10.0.0.203";"Administrators";"leonel.villa";"WinNT"
"10.0.0.203";"Administrators";"jtoledo";"WinNT"
"10.0.0.203";"Remote Desktop Users";"ERROR: Acceso denegado. (Excepción de HRESULT: 0x80070005 (E_ACCESSDENIED))";"ERROR"
"10.0.0.48";"Administrators";"Administrator";"WinNT"
"10.0.0.48";"Administrators";"SQLSERVERAGENT";"WinNT"
"10.0.0.48";"Administrators";"Domain Admins";"WinNT"
"10.0.0.48";"Administrators";"csilva";"WinNT"
"10.0.0.48";"Administrators";"asrpush";"WinNT"
"10.0.0.48";"Remote Desktop Users";"csilva";"WinNT"
