"Servidor";"Ping";"Puerto445_SMB";"Puerto135_RPC";"WinRM_5985_HTTP";"WinRM_5986_HTTPS";"RemoteRegistry";"Acceso_WinNT";"Acceso_WMI";"WinRM_Auth"
"10.0.0.49";"OK";"OK";"OK";"OK";"No";"Running";"OK";"OK";"Negotiate"
"10.0.0.56";"OK";"OK";"OK";"OK";"No";"Stopped";"OK";"OK";"Negotiate"
"10.0.0.61";"OK";"Bloqueado";"OK";"OK";"No";"No accesible";"OK";"OK";"Negotiate"
"10.0.0.80";"OK";"OK";"OK";"OK";"No";"Running";"OK";"OK";"Negotiate"
"10.0.0.86";"OK";"OK";"OK";"OK";"No";"Running";"OK";"OK";"Negotiate"
"10.0.0.102";"OK";"OK";"OK";"OK";"No";"Running";"OK";"OK";"Negotiate"
"10.0.0.103";"OK";"OK";"OK";"OK";"No";"Running";"OK";"OK";"Negotiate"
"10.0.0.201";"OK";"OK";"OK";"OK";"No";"Stopped";"OK";"OK";"Negotiate"
"10.0.0.53";"OK";"OK";"OK";"OK";"No";"No accesible";"OK";"OK";"None"
"10.0.0.203";"OK";"OK";"OK";"OK";"No";"Stopped";"OK";"OK";"Negotiate"
"10.0.0.48";"OK";"OK";"OK";"OK";"No";"Stopped";"OK";"OK";"Negotiate"
